phi,U
0.14295171181592217,-3.044522437723423
0.2568758031719735,-1.3862943611198906
0.3344924050614787,-2.9444389791664403
0.39767033437281507,-2.3978952727983707
0.45250578378523176,-1.9459101490553128
0.5017484159212127,-2.5649493574615367
0.5469175542250014,-2.833213344056216
0.5889574471938454,-2.4849066497880004
0.6285024053780028,-2.5649493574615367
0.6660029004403617,-2.5649493574615367
0.7017925303905488,-3.218875824868201
0.7361265720468421,-2.6390573296152584
0.769205594347739,-3.091042453358316
0.8011906502218082,-3.091042453358316
0.832213449645745,-2.9444389791664403
0.8623834024008529,-3.58351893845611
0.8917926328030418,-3.4339872044851463
0.9205196375112207,-3.49650756146648
0.948632009954964,-3.4657359027997265
0.9761885070940284,-3.6375861597263857
1.003240642904588,-3.688879454113936
1.0298339348809127,-4.382026634673881
1.0560088918890453,-4.990432586778736
1.0818018063381685,-5.198497031265826
1.107245396319061,-5.476463551931511
1.1323693313171823,-5.4510384535657
1.1572006665911565,-5.181783550292085
1.1817642051905664,-4.804021044733257
1.2060828021318117,-4.990432586778736
1.2301776219640925,-4.584967478670572
1.2540683585043038,-4.691347882229144
1.277773423668674,-4.3694478524670215
1.301310110918674,-4.852030263919617
1.3246947377545213,-5.214935757608986
1.3479427708493625,-5.424950017481403
1.3710689367613467,-5.863631175598097
1.3940873206456985,-6.486160788944089
1.4170114549823036,-7.284134806195205
1.4398544000122098,-7.939871576361883
1.462628817320794,-8.613775289262481
1.485347037802564,-9.361944956108076
1.508021125082339,-9.90113478695253
1.530662935342139,-10.379317923304855
1.5532841744066084,-10.727860344448946
1.5758964528678592,-10.865477963661274
1.5985113399800768,-10.798370769971395
1.6211404170228991,-10.55776395870708
1.643795330819162,-10.277049111631284
1.6664878480964833,-10.000659634288388
1.6892299114035643,-9.740027003383092
1.7120336973318553,-9.519367998447342
1.7349116778531175,-9.346966969508008
1.7578766856659604,-9.20923976653215
1.7809419845533752,-9.111845125227084
1.8041213458935612,-9.119868468812108
1.8274291326446679,-9.10731047165664
1.8508803923492614,-9.146015161419625
1.8744909609880362,-9.214830277249035
1.8982775798699647,-9.28785681440401
1.922258028198218,-9.37873202323664
1.946451274525212,-9.439863530254431
1.9708776510429356,-9.482959566750916
1.9955590555964782,-9.53191649607552
2.020519187528145,-9.577965147101168
2.045783825052036,-9.596894455192588
2.071381153958092,-9.59709825261865
2.097342160239998,-9.60481193860948
2.1237011030057094,-9.590761138978086
2.150496089160925,-9.572828387229206
2.1777697784448398,-9.536040511615484
2.205570257334788,-9.50680873170858
2.2339521344913096,-9.45203086057697
2.262977930937656,-9.40137386937216
2.292719868510725,-9.381769487603714
2.323262205973301,-9.328212292571072
2.3547043431843644,-9.318566777047051
2.3871650267643547,-9.251194365984448
2.4207881763979358,-9.150165648940114
2.455751167232668,-9.024251728612985
2.4922769657512993,-8.805525052709516
2.5306525654149903,-8.413387022690648
2.571258246085928,-7.683403681053826
2.6146166065633074,-6.941190055068375
2.661480644244571,-6.013715156042802
2.7130072763356066,-5.093750200806762
2.7711464982937453,-4.867534450455582
2.8397061092976417,-4.68213122712422
2.928533548556745,-4.477336814478207
